location,label,side,material,grade,width,height,length,quantity,level
EXTERNAL,FF-XD18,ANGLED,Other,C16,38,38,1549,1,FF Walls
EXTERNAL,FF-XD18,SQUARE,Other,C16,38,38,468,1,FF Walls
EXTERNAL,FF-XD18,ANGLED,Other,C16,38,38,1911,1,FF Walls
EXTERNAL,FF-XD18,ANGLED,Other,C16,38,38,643,1,FF Walls
EXTERNAL,FF-XD19,SQUARE,Bottom Rail,C16,38,89,1500,1,FF Walls
EXTERNAL,FF-XD19,SQUARE,Top Rail,C16,38,89,1500,1,FF Walls
EXTERNAL,FF-XD19,SQUARE,Headbinder,C16,38,89,1500,1,FF Walls
EXTERNAL,FF-XD19,SQUARE,Stud,C16,38,89,1252,5,FF Walls
EXTERNAL,FF-XD19,SQUARE,Junction Stud,C16,38,140,1252,1,FF Walls
EXTERNAL,FF-XD19,SQUARE,Other,C16,38,38,1285,3,FF Walls
EXTERNAL,FF-XD19,SQUARE,Other,C16,38,38,1360,2,FF Walls
EXTERNAL,FF-XD19,SQUARE,Other,C16,38,89,1285,1,FF Walls
EXTERNAL,FF-XD2,SQUARE,Noggin,C16,38,89,560,1,FF Walls
EXTERNAL,FF-XD2,SQUARE,Noggin,C16,38,89,541,1,FF Walls
EXTERNAL,FF-XD2,SQUARE,Stud,C16,38,89,2736,4,FF Walls
EXTERNAL,FF-XD2,SQUARE,Top Rail,C16,38,89,1390,1,FF Walls
EXTERNAL,FF-XD2,SQUARE,Bottom Rail,C16,38,89,1390,1,FF Walls
EXTERNAL,FF-XD2,SQUARE,Headbinder,C16,38,89,790,1,FF Walls
EXTERNAL,FF-XD2,SQUARE,Noggin,C16,38,89,131,1,FF Walls
EXTERNAL,FF-XD2,SQUARE,Other,TR26,47,97,2757,1,FF Walls
EXTERNAL,FF-XD2,SQUARE,Other,C16,38,38,1387,2,FF Walls
EXTERNAL,FF-XD2,SQUARE,Other,C16,38,38,2719,4,FF Walls
EXTERNAL,FF-XD2,SQUARE,Other,C16,38,140,2719,1,FF Walls
EXTERNAL,FF-XD20,SQUARE,Bottom Rail,C16,38,89,2329,1,FF Walls
EXTERNAL,FF-XD20,SQUARE,Top Rail,C16,38,89,2329,1,FF Walls
EXTERNAL,FF-XD20,SQUARE,Headbinder,C16,38,89,2029,1,FF Walls
EXTERNAL,FF-XD20,SQUARE,Stud,C16,38,89,1446,9,FF Walls
EXTERNAL,FF-XD20,SQUARE,Other,C16,38,38,2326,2,FF Walls
EXTERNAL,FF-XD20,SQUARE,Other,C16,38,38,1479,7,FF Walls
EXTERNAL,FF-XD21,SQUARE,Bottom Rail,C16,38,89,2400,1,FF Walls
EXTERNAL,FF-XD21,SQUARE,Top Rail,C16,38,89,2400,1,FF Walls
EXTERNAL,FF-XD21,SQUARE,Headbinder,C16,38,89,1800,1,FF Walls
EXTERNAL,FF-XD21,SQUARE,Stud,C16,38,89,1486,7,FF Walls
EXTERNAL,FF-XD21,SQUARE,Other,TR26,47,97,1557,1,FF Walls
EXTERNAL,FF-XD21,SQUARE,Other,C16,38,38,2394,1,FF Walls
EXTERNAL,FF-XD21,SQUARE,Other,C16,38,38,1519,7,FF Walls
EXTERNAL,FF-XD21,SQUARE,Other,C16,38,38,2397,1,FF Walls
EXTERNAL,FF-XD21,SQUARE,Other,C16,38,140,1519,1,FF Walls
EXTERNAL,FF-XD22,SQUARE,Headbinder,C16,38,89,1464,1,FF Walls
EXTERNAL,FF-XD22,SQUARE,Stud,C16,38,89,1486,7,FF Walls
EXTERNAL,FF-XD22,SQUARE,Top Rail,C16,38,89,2064,1,FF Walls
EXTERNAL,FF-XD22,SQUARE,Bottom Rail,C16,38,89,2063,1,FF Walls
EXTERNAL,FF-XD22,SQUARE,Other,TR26,47,97,1519,1,FF Walls
EXTERNAL,FF-XD22,SQUARE,Other,C16,38,38,2061,1,FF Walls
EXTERNAL,FF-XD22,SQUARE,Other,C16,38,38,2056,1,FF Walls
EXTERNAL,FF-XD22,SQUARE,Other,C16,38,38,1519,6,FF Walls
EXTERNAL,FF-XD22,SQUARE,Other,C16,38,140,1519,1,FF Walls
EXTERNAL,FF-XD23,SQUARE,Stud,C16,38,89,118,4,FF Walls
EXTERNAL,FF-XD23,SQUARE,Stud,C16,38,89,1444,8,FF Walls
